title,link,authors,authors_webpage,publish_date,book_length,price,purchase_links
The Future,https://mitpress.mit.edu/9780262534819/the-future,Nick Montfort,https://mitpress.mit.edu/author/nick-montfort-4107,"December 8, 2017",192,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262534819
Critical Thinking,https://mitpress.mit.edu/9780262538282/critical-thinking,Jonathan Haber,https://mitpress.mit.edu/author/jonathan-haber-21957,"April 7, 2020",232,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538282
Hunting,https://mitpress.mit.edu/9780262543293/hunting,Jan E. Dizard & Mary Zeiss Stange,https://mitpress.mit.edu/author/jan-e-dizard-34146 & https://mitpress.mit.edu/author/mary-zeiss-stange-34147,"October 4, 2022",248,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262543293
Content,https://mitpress.mit.edu/9780262543286/content,Kate Eichhorn,https://mitpress.mit.edu/author/kate-eichhorn-21842,"May 10, 2022",192,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262543286
"Machine Learning, revised and updated edition",https://mitpress.mit.edu/9780262542524/machine-learning,Ethem Alpaydın,https://mitpress.mit.edu/author/ethem-alpaydn-1089,"August 17, 2021",280,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262542524
Macroeconomics,https://mitpress.mit.edu/9780262538572/macroeconomics,Felipe Larraín B.,https://mitpress.mit.edu/author/felipe-larrain-b-13187,"March 17, 2020",296,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538572
fMRI,https://mitpress.mit.edu/9780262538039/fmri,Peter A. Bandettini,https://mitpress.mit.edu/author/peter-a-bandettini-15778,"February 25, 2020",280,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262538039
Collaborative Society,https://mitpress.mit.edu/9780262537919/collaborative-society,Dariusz Jemielniak & Aleksandra Przegalinska,https://mitpress.mit.edu/author/dariusz-jemielniak-19785 & https://mitpress.mit.edu/author/aleksandra-przegalinska-28238,"February 18, 2020",256,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262537919
GPS,https://mitpress.mit.edu/9780262535953/gps,Paul E. Ceruzzi,https://mitpress.mit.edu/author/paul-e-ceruzzi-4023,"November 6, 2018",232,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535953
School Choice,https://mitpress.mit.edu/9780262535908/school-choice,David R. Garcia,https://mitpress.mit.edu/author/david-r-garcia-28397,"September 18, 2018",216,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535908
Haptics,https://mitpress.mit.edu/9780262535809/haptics,Lynette Jones,https://mitpress.mit.edu/author/lynette-jones-26298,"September 4, 2018",192,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535809
Machine Translation,https://mitpress.mit.edu/9780262534215/machine-translation,Thierry Poibeau,https://mitpress.mit.edu/author/thierry-poibeau-24043,"September 15, 2017",296,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262534215
Paradox,https://mitpress.mit.edu/9780262525497/paradox,Margaret Cuonzo,https://mitpress.mit.edu/author/margaret-cuonzo-20791,"February 14, 2014",240,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262525497
Analog,https://mitpress.mit.edu/9780262544498/analog,Robert Hassan,https://mitpress.mit.edu/author/robert-hassan-22991,"January 3, 2023",272,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262544498
Happiness,https://mitpress.mit.edu/9780262544207/happiness,Tim Lomas,https://mitpress.mit.edu/author/tim-lomas-26931,"January 3, 2023",304,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262544207
